DATE,GDP
1975-01-01,14720672507
1976-01-01,19213022691
1977-01-01,24871775165
1978-01-01,23775831783
1979-01-01,31225463218
1980-01-01,43598748449
1981-01-01,49333424135
1982-01-01,46622718605
1983-01-01,42803323345
1984-01-01,41807954236
1985-01-01,40603650232
1986-01-01,33943612095
1987-01-01,36384908744
1988-01-01,36275674203
1989-01-01,41464995914
1990-01-01,50701443748
1991-01-01,51552165622
1992-01-01,54239171888
1993-01-01,55625170253
1994-01-01,59305093980
1995-01-01,65743666576
1996-01-01,73571233996
1997-01-01,78839008445
1998-01-01,75674336283
1999-01-01,84445473111
2000-01-01,1.04E+11
2001-01-01,1.03E+11
2002-01-01,1.10E+11
2003-01-01,1.24E+11
2004-01-01,1.48E+11
2005-01-01,1.81E+11
2006-01-01,2.22E+11
2007-01-01,2.58E+11
2008-01-01,3.15E+11
2009-01-01,2.54E+11
2010-01-01,2.90E+11
2011-01-01,3.51E+11
2012-01-01,3.75E+11
2013-01-01,3.90E+11
2014-01-01,4.03E+11
2015-01-01,3.58E+11
2016-01-01,3.57E+11
2017-01-01,3.78E+11
2018-01-01,4.14E+11
